net,length_um
_08543_,211.82
_04961_,211.78
genblk1.pcpi_mul.rs2\[26\],211.67
_10608_,211.62
_13384_,211.6
_08755_,211.45
_12254_,211.42
decoded_rd\[1\],211.26
_14213_,211.13
reg_next_pc\[22\],210.85
_05864_,210.6
_13241_,210.46
net101,210.46
_05525_,210.32
alu_out_q\[1\],210.295
_02043_,209.88
_08895_,209.82
_01549_,209.73
_09073_,209.725
_13110_,209.56
net188,209.46
_14413_,209.4
_09355_,209.3
_09659_,209.28
_07461_,208.92
_14348_,208.88
net529,208.77
_13882_,208.665
_05315_,208.66
net70,208.66
_03587_,208.54
net172,208.46
